spatial_ref,MNDWI,x,y
32635,,271485.0,-3785475.0
32635,,271515.0,-3785475.0
32635,,271545.0,-3785475.0
32635,,271575.0,-3785475.0
32635,,271605.0,-3785475.0
32635,,271635.0,-3785475.0
32635,,271665.0,-3785475.0
32635,,271695.0,-3785475.0
32635,,271725.0,-3785475.0
32635,,271755.0,-3785475.0
32635,,271785.0,-3785475.0
32635,,271815.0,-3785475.0
32635,,271845.0,-3785475.0
32635,,271875.0,-3785475.0
32635,,271905.0,-3785475.0
32635,,271935.0,-3785475.0
32635,,271965.0,-3785475.0
32635,,271995.0,-3785475.0
32635,,272025.0,-3785475.0
32635,,272055.0,-3785475.0
32635,,272085.0,-3785475.0
32635,,272115.0,-3785475.0
32635,,272145.0,-3785475.0
32635,,272175.0,-3785475.0
32635,,272205.0,-3785475.0
32635,,272235.0,-3785475.0
32635,,272265.0,-3785475.0
32635,,272295.0,-3785475.0
32635,,272325.0,-3785475.0
32635,,272355.0,-3785475.0
32635,,272385.0,-3785475.0
32635,,272415.0,-3785475.0
32635,,272445.0,-3785475.0
32635,,272475.0,-3785475.0
32635,,272505.0,-3785475.0
32635,,272535.0,-3785475.0
32635,,272565.0,-3785475.0
32635,,272595.0,-3785475.0
32635,,272625.0,-3785475.0
32635,,272655.0,-3785475.0
32635,,272685.0,-3785475.0
32635,,272715.0,-3785475.0
32635,,272745.0,-3785475.0
32635,,272775.0,-3785475.0
32635,,272805.0,-3785475.0
32635,,272835.0,-3785475.0
32635,,272865.0,-3785475.0
32635,,272895.0,-3785475.0
32635,,272925.0,-3785475.0
32635,,272955.0,-3785475.0
32635,,272985.0,-3785475.0
32635,,273015.0,-3785475.0
32635,,273045.0,-3785475.0
32635,,273075.0,-3785475.0
32635,,273105.0,-3785475.0
32635,,273135.0,-3785475.0
32635,,273165.0,-3785475.0
32635,,273195.0,-3785475.0
32635,,273225.0,-3785475.0
32635,,273255.0,-3785475.0
32635,,273285.0,-3785475.0
32635,,273315.0,-3785475.0
32635,,273345.0,-3785475.0
32635,,273375.0,-3785475.0
32635,,273405.0,-3785475.0
32635,,273435.0,-3785475.0
32635,,273465.0,-3785475.0
32635,,273495.0,-3785475.0
32635,,273525.0,-3785475.0
32635,,269715.0,-3785505.0
32635,,269745.0,-3785505.0
32635,,269775.0,-3785505.0
32635,,269805.0,-3785505.0
32635,,269835.0,-3785505.0
32635,,269865.0,-3785505.0
32635,,269895.0,-3785505.0
32635,,269925.0,-3785505.0
32635,,269955.0,-3785505.0
32635,,269985.0,-3785505.0
32635,,270015.0,-3785505.0
32635,,270045.0,-3785505.0
32635,,270075.0,-3785505.0
32635,,270105.0,-3785505.0
32635,,270135.0,-3785505.0
32635,,270165.0,-3785505.0
32635,,270195.0,-3785505.0
32635,,270225.0,-3785505.0
32635,,270255.0,-3785505.0
32635,,270285.0,-3785505.0
32635,,270315.0,-3785505.0
32635,,270345.0,-3785505.0
32635,,270375.0,-3785505.0
32635,,270405.0,-3785505.0
32635,,270435.0,-3785505.0
32635,,270465.0,-3785505.0
32635,,270495.0,-3785505.0
32635,,270525.0,-3785505.0
32635,,270555.0,-3785505.0
32635,,270585.0,-3785505.0
32635,,270615.0,-3785505.0
32635,,270645.0,-3785505.0
32635,,270675.0,-3785505.0
32635,,270705.0,-3785505.0
32635,,270735.0,-3785505.0
32635,,270765.0,-3785505.0
32635,,270795.0,-3785505.0
32635,,270825.0,-3785505.0
32635,,270855.0,-3785505.0
32635,,270885.0,-3785505.0
32635,,270915.0,-3785505.0
32635,,270945.0,-3785505.0
32635,,270975.0,-3785505.0
32635,,271005.0,-3785505.0
32635,,271035.0,-3785505.0
32635,,271065.0,-3785505.0
32635,,271095.0,-3785505.0
32635,,271125.0,-3785505.0
32635,,271155.0,-3785505.0
32635,,271185.0,-3785505.0
32635,,271215.0,-3785505.0
32635,,271245.0,-3785505.0
32635,,271275.0,-3785505.0
32635,,271305.0,-3785505.0
32635,,271335.0,-3785505.0
32635,,271365.0,-3785505.0
32635,,271395.0,-3785505.0
32635,,271425.0,-3785505.0
32635,,271455.0,-3785505.0
32635,,271485.0,-3785505.0
32635,,271515.0,-3785505.0
32635,,271545.0,-3785505.0
32635,,271575.0,-3785505.0
32635,,271605.0,-3785505.0
32635,,271635.0,-3785505.0
32635,,271665.0,-3785505.0
32635,,271695.0,-3785505.0
32635,,271725.0,-3785505.0
32635,,271755.0,-3785505.0
32635,,271785.0,-3785505.0
32635,,271815.0,-3785505.0
32635,,271845.0,-3785505.0
32635,,271875.0,-3785505.0
32635,,271905.0,-3785505.0
32635,,271935.0,-3785505.0
32635,,271965.0,-3785505.0
32635,,271995.0,-3785505.0
32635,,272025.0,-3785505.0
32635,,272055.0,-3785505.0
32635,,272085.0,-3785505.0
32635,,272115.0,-3785505.0
32635,,272145.0,-3785505.0
32635,,272175.0,-3785505.0
32635,,272205.0,-3785505.0
32635,,272235.0,-3785505.0
32635,,272265.0,-3785505.0
32635,,272295.0,-3785505.0
32635,,272325.0,-3785505.0
32635,,272355.0,-3785505.0
32635,,272385.0,-3785505.0
32635,,272415.0,-3785505.0
32635,,272445.0,-3785505.0
32635,,272475.0,-3785505.0
32635,,272505.0,-3785505.0
32635,,272535.0,-3785505.0
32635,,272565.0,-3785505.0
32635,,272595.0,-3785505.0
32635,,272625.0,-3785505.0
32635,,272655.0,-3785505.0
32635,,272685.0,-3785505.0
32635,,272715.0,-3785505.0
32635,,272745.0,-3785505.0
32635,,272775.0,-3785505.0
32635,,272805.0,-3785505.0
32635,,272835.0,-3785505.0
32635,,272865.0,-3785505.0
32635,,272895.0,-3785505.0
32635,,272925.0,-3785505.0
32635,,272955.0,-3785505.0
32635,,272985.0,-3785505.0
32635,,273015.0,-3785505.0
32635,,273045.0,-3785505.0
32635,,273075.0,-3785505.0
32635,,273105.0,-3785505.0
32635,,273135.0,-3785505.0
32635,,273165.0,-3785505.0
32635,,273195.0,-3785505.0
32635,,273225.0,-3785505.0
32635,,273255.0,-3785505.0
32635,,273285.0,-3785505.0
32635,,273315.0,-3785505.0
32635,,273345.0,-3785505.0
32635,,273375.0,-3785505.0
32635,,273405.0,-3785505.0
32635,,273435.0,-3785505.0
32635,,273465.0,-3785505.0
32635,,273495.0,-3785505.0
32635,,273525.0,-3785505.0
32635,,269715.0,-3785535.0
32635,,269745.0,-3785535.0
32635,,269775.0,-3785535.0
32635,,269805.0,-3785535.0
32635,,269835.0,-3785535.0
32635,,269865.0,-3785535.0
32635,,269895.0,-3785535.0
32635,,269925.0,-3785535.0
32635,,269955.0,-3785535.0
32635,,269985.0,-3785535.0
32635,,270015.0,-3785535.0
32635,,270045.0,-3785535.0
32635,,270075.0,-3785535.0
32635,,270105.0,-3785535.0
32635,,270135.0,-3785535.0
32635,,270165.0,-3785535.0
32635,,270195.0,-3785535.0
32635,,270225.0,-3785535.0
32635,,270255.0,-3785535.0
32635,,270285.0,-3785535.0
32635,,270315.0,-3785535.0
32635,,270345.0,-3785535.0
32635,,270375.0,-3785535.0
32635,,270405.0,-3785535.0
32635,,270435.0,-3785535.0
32635,,270465.0,-3785535.0
32635,,270495.0,-3785535.0
32635,,270525.0,-3785535.0
32635,,270555.0,-3785535.0
32635,,270585.0,-3785535.0
32635,,270615.0,-3785535.0
32635,,270645.0,-3785535.0
32635,,270675.0,-3785535.0
32635,,270705.0,-3785535.0
32635,,270735.0,-3785535.0
32635,,270765.0,-3785535.0
32635,,270795.0,-3785535.0
32635,,270825.0,-3785535.0
32635,,270855.0,-3785535.0
32635,,270885.0,-3785535.0
32635,,270915.0,-3785535.0
32635,,270945.0,-3785535.0
32635,,270975.0,-3785535.0
32635,,271005.0,-3785535.0
32635,,271035.0,-3785535.0
32635,,271065.0,-3785535.0
32635,,271095.0,-3785535.0
32635,,271125.0,-3785535.0
32635,,271155.0,-3785535.0
32635,,271185.0,-3785535.0
32635,,271215.0,-3785535.0
32635,,271245.0,-3785535.0
32635,,271275.0,-3785535.0
32635,,271305.0,-3785535.0
32635,,271335.0,-3785535.0
32635,,271365.0,-3785535.0
32635,,271395.0,-3785535.0
32635,,271425.0,-3785535.0
32635,,271455.0,-3785535.0
32635,,271485.0,-3785535.0
32635,,271515.0,-3785535.0
32635,,271545.0,-3785535.0
32635,,271575.0,-3785535.0
32635,,271605.0,-3785535.0
32635,,271635.0,-3785535.0
32635,,271665.0,-3785535.0
32635,,271695.0,-3785535.0
32635,,271725.0,-3785535.0
32635,,271755.0,-3785535.0
32635,,271785.0,-3785535.0
32635,,271815.0,-3785535.0
32635,,271845.0,-3785535.0
32635,,271875.0,-3785535.0
32635,,271905.0,-3785535.0
32635,,271935.0,-3785535.0
32635,,271965.0,-3785535.0
32635,,271995.0,-3785535.0
32635,,272025.0,-3785535.0
32635,,272055.0,-3785535.0
32635,,272085.0,-3785535.0
32635,,272115.0,-3785535.0
32635,,272145.0,-3785535.0
32635,,272175.0,-3785535.0
32635,,272205.0,-3785535.0
32635,,272235.0,-3785535.0
32635,,272265.0,-3785535.0
32635,,272295.0,-3785535.0
32635,,272325.0,-3785535.0
32635,,272355.0,-3785535.0
32635,,272385.0,-3785535.0
32635,,272415.0,-3785535.0
32635,,272445.0,-3785535.0
32635,,272475.0,-3785535.0
32635,,272505.0,-3785535.0
32635,,272535.0,-3785535.0
32635,,272565.0,-3785535.0
32635,,272595.0,-3785535.0
32635,,272625.0,-3785535.0
32635,,272655.0,-3785535.0
32635,,272685.0,-3785535.0
32635,,272715.0,-3785535.0
32635,,272745.0,-3785535.0
32635,,272775.0,-3785535.0
32635,,272805.0,-3785535.0
32635,,272835.0,-3785535.0
32635,,272865.0,-3785535.0
32635,,272895.0,-3785535.0
32635,,272925.0,-3785535.0
32635,,272955.0,-3785535.0
32635,,272985.0,-3785535.0
32635,,273015.0,-3785535.0
32635,,273045.0,-3785535.0
32635,,273075.0,-3785535.0
32635,,273105.0,-3785535.0
32635,,273135.0,-3785535.0
32635,,273165.0,-3785535.0
32635,,273195.0,-3785535.0
32635,,273225.0,-3785535.0
32635,,273255.0,-3785535.0
32635,,273285.0,-3785535.0
32635,,273315.0,-3785535.0
32635,,273345.0,-3785535.0
32635,,273375.0,-3785535.0
32635,,273405.0,-3785535.0
32635,,273435.0,-3785535.0
32635,,273465.0,-3785535.0
32635,,273495.0,-3785535.0
32635,,273525.0,-3785535.0
32635,,269715.0,-3785565.0
32635,,269745.0,-3785565.0
32635,,269775.0,-3785565.0
32635,,269805.0,-3785565.0
32635,,269835.0,-3785565.0
32635,,269865.0,-3785565.0
32635,,269895.0,-3785565.0
32635,,269925.0,-3785565.0
32635,,269955.0,-3785565.0
32635,,269985.0,-3785565.0
32635,,270015.0,-3785565.0
32635,,270045.0,-3785565.0
32635,,270075.0,-3785565.0
32635,,270105.0,-3785565.0
32635,,270135.0,-3785565.0
32635,,270165.0,-3785565.0
32635,,270195.0,-3785565.0
32635,,270225.0,-3785565.0
32635,,270255.0,-3785565.0
32635,,270285.0,-3785565.0
32635,,270315.0,-3785565.0
32635,,270345.0,-3785565.0
32635,,270375.0,-3785565.0
32635,,270405.0,-3785565.0
32635,,270435.0,-3785565.0
32635,,270465.0,-3785565.0
32635,,270495.0,-3785565.0
32635,,270525.0,-3785565.0
32635,,270555.0,-3785565.0
32635,,270585.0,-3785565.0
32635,,270615.0,-3785565.0
32635,,270645.0,-3785565.0
32635,,270675.0,-3785565.0
32635,,270705.0,-3785565.0
32635,,270735.0,-3785565.0
32635,,270765.0,-3785565.0
32635,,270795.0,-3785565.0
32635,,270825.0,-3785565.0
32635,,270855.0,-3785565.0
32635,,270885.0,-3785565.0
32635,,270915.0,-3785565.0
32635,,270945.0,-3785565.0
32635,,270975.0,-3785565.0
32635,,271005.0,-3785565.0
32635,,271035.0,-3785565.0
32635,,271065.0,-3785565.0
32635,,271095.0,-3785565.0
32635,,271125.0,-3785565.0
32635,,271155.0,-3785565.0
32635,,271185.0,-3785565.0
32635,,271215.0,-3785565.0
32635,,271245.0,-3785565.0
32635,,271275.0,-3785565.0
32635,,271305.0,-3785565.0
32635,,271335.0,-3785565.0
32635,,271365.0,-3785565.0
32635,,271395.0,-3785565.0
32635,,271425.0,-3785565.0
32635,,271455.0,-3785565.0
32635,,271485.0,-3785565.0
32635,,271515.0,-3785565.0
32635,,271545.0,-3785565.0
32635,,271575.0,-3785565.0
32635,,271605.0,-3785565.0
32635,,271635.0,-3785565.0
32635,,271665.0,-3785565.0
32635,,271695.0,-3785565.0
32635,,271725.0,-3785565.0
32635,,271755.0,-3785565.0
32635,,271785.0,-3785565.0
32635,,271815.0,-3785565.0
32635,,271845.0,-3785565.0
32635,,271875.0,-3785565.0
32635,,271905.0,-3785565.0
32635,,271935.0,-3785565.0
32635,,271965.0,-3785565.0
32635,,271995.0,-3785565.0
32635,,272025.0,-3785565.0
32635,,272055.0,-3785565.0
32635,,272085.0,-3785565.0
32635,,272115.0,-3785565.0
32635,,272145.0,-3785565.0
32635,,272175.0,-3785565.0
32635,,272205.0,-3785565.0
32635,,272235.0,-3785565.0
32635,,272265.0,-3785565.0
32635,,272295.0,-3785565.0
32635,,272325.0,-3785565.0
32635,,272355.0,-3785565.0
32635,,272385.0,-3785565.0
32635,,272415.0,-3785565.0
32635,,272445.0,-3785565.0
32635,,272475.0,-3785565.0
32635,,272505.0,-3785565.0
32635,,272535.0,-3785565.0
32635,,272565.0,-3785565.0
32635,,272595.0,-3785565.0
32635,,272625.0,-3785565.0
32635,,272655.0,-3785565.0
32635,,272685.0,-3785565.0
32635,,272715.0,-3785565.0
32635,,272745.0,-3785565.0
32635,,272775.0,-3785565.0
32635,,272805.0,-3785565.0
32635,,272835.0,-3785565.0
32635,,272865.0,-3785565.0
32635,,272895.0,-3785565.0
32635,,272925.0,-3785565.0
32635,,272955.0,-3785565.0
32635,,272985.0,-3785565.0
32635,,273015.0,-3785565.0
32635,,273045.0,-3785565.0
32635,,273075.0,-3785565.0
32635,,273105.0,-3785565.0
32635,,273135.0,-3785565.0
32635,,273165.0,-3785565.0
32635,,273195.0,-3785565.0
32635,,273225.0,-3785565.0
32635,,273255.0,-3785565.0
32635,,273285.0,-3785565.0
32635,,273315.0,-3785565.0
32635,,273345.0,-3785565.0
32635,,273375.0,-3785565.0
32635,,273405.0,-3785565.0
32635,,273435.0,-3785565.0
32635,,273465.0,-3785565.0
32635,,273495.0,-3785565.0
32635,,273525.0,-3785565.0
32635,,269715.0,-3785595.0
32635,,269745.0,-3785595.0
32635,,269775.0,-3785595.0
32635,,269805.0,-3785595.0
32635,,269835.0,-3785595.0
32635,,269865.0,-3785595.0
32635,,269895.0,-3785595.0
32635,,269925.0,-3785595.0
32635,,269955.0,-3785595.0
32635,,269985.0,-3785595.0
32635,,270015.0,-3785595.0
32635,,270045.0,-3785595.0
32635,,270075.0,-3785595.0
32635,,270105.0,-3785595.0
32635,,270135.0,-3785595.0
32635,,270165.0,-3785595.0
32635,,270195.0,-3785595.0
32635,,270225.0,-3785595.0
32635,,270255.0,-3785595.0
32635,,270285.0,-3785595.0
32635,,270315.0,-3785595.0
32635,,270345.0,-3785595.0
32635,,270375.0,-3785595.0
32635,,270405.0,-3785595.0
32635,,270435.0,-3785595.0
32635,,270465.0,-3785595.0
32635,,270495.0,-3785595.0
32635,,270525.0,-3785595.0
32635,,270555.0,-3785595.0
32635,,270585.0,-3785595.0
32635,,270615.0,-3785595.0
32635,,270645.0,-3785595.0
32635,,270675.0,-3785595.0
32635,,270705.0,-3785595.0
32635,,270735.0,-3785595.0
32635,,270765.0,-3785595.0
32635,,270795.0,-3785595.0
32635,,270825.0,-3785595.0
32635,,270855.0,-3785595.0
32635,,270885.0,-3785595.0
32635,,270915.0,-3785595.0
32635,,270945.0,-3785595.0
32635,,270975.0,-3785595.0
32635,,271005.0,-3785595.0
32635,,271035.0,-3785595.0
32635,,271065.0,-3785595.0
32635,,271095.0,-3785595.0
32635,,271125.0,-3785595.0
32635,,271155.0,-3785595.0
32635,,271185.0,-3785595.0
32635,,271215.0,-3785595.0
32635,,271245.0,-3785595.0
32635,,271275.0,-3785595.0
32635,,271305.0,-3785595.0
32635,,271335.0,-3785595.0
32635,,271365.0,-3785595.0
32635,,271395.0,-3785595.0
32635,,271425.0,-3785595.0
32635,,271455.0,-3785595.0
32635,,271485.0,-3785595.0
32635,,271515.0,-3785595.0
32635,,271545.0,-3785595.0
32635,,271575.0,-3785595.0
32635,,271605.0,-3785595.0
32635,,271635.0,-3785595.0
32635,,271665.0,-3785595.0
32635,,271695.0,-3785595.0
32635,,271725.0,-3785595.0
32635,,271755.0,-3785595.0
32635,,271785.0,-3785595.0
32635,,271815.0,-3785595.0
32635,,271845.0,-3785595.0
32635,,271875.0,-3785595.0
32635,,271905.0,-3785595.0
32635,,271935.0,-3785595.0
32635,,271965.0,-3785595.0
32635,,271995.0,-3785595.0
32635,,272025.0,-3785595.0
32635,,272055.0,-3785595.0
32635,,272085.0,-3785595.0
32635,,272115.0,-3785595.0
32635,,272145.0,-3785595.0
32635,,272175.0,-3785595.0
32635,,272205.0,-3785595.0
32635,,272235.0,-3785595.0
32635,,272265.0,-3785595.0
32635,,272295.0,-3785595.0
32635,,272325.0,-3785595.0
32635,,272355.0,-3785595.0
32635,,272385.0,-3785595.0
32635,,272415.0,-3785595.0
32635,,272445.0,-3785595.0
32635,,272475.0,-3785595.0
32635,,272505.0,-3785595.0
32635,,272535.0,-3785595.0
32635,,272565.0,-3785595.0
32635,,272595.0,-3785595.0
32635,,272625.0,-3785595.0
32635,,272655.0,-3785595.0
32635,,272685.0,-3785595.0
32635,,272715.0,-3785595.0
32635,,272745.0,-3785595.0
32635,,272775.0,-3785595.0
32635,,272805.0,-3785595.0
32635,,272835.0,-3785595.0
32635,,272865.0,-3785595.0
32635,,272895.0,-3785595.0
32635,,272925.0,-3785595.0
32635,,272955.0,-3785595.0
32635,,272985.0,-3785595.0
32635,,273015.0,-3785595.0
32635,,273045.0,-3785595.0
32635,,273075.0,-3785595.0
32635,,273105.0,-3785595.0
32635,,273135.0,-3785595.0
32635,,273165.0,-3785595.0
32635,,273195.0,-3785595.0
32635,,273225.0,-3785595.0
32635,,273255.0,-3785595.0
32635,,273285.0,-3785595.0
32635,,273315.0,-3785595.0
32635,,273345.0,-3785595.0
32635,,273375.0,-3785595.0
32635,,273405.0,-3785595.0
32635,,273435.0,-3785595.0
32635,,273465.0,-3785595.0
32635,,273495.0,-3785595.0
32635,,273525.0,-3785595.0
32635,,269715.0,-3785625.0
32635,,269745.0,-3785625.0
32635,,269775.0,-3785625.0
32635,,269805.0,-3785625.0
32635,,269835.0,-3785625.0
32635,,269865.0,-3785625.0
32635,,269895.0,-3785625.0
32635,,269925.0,-3785625.0
32635,,269955.0,-3785625.0
32635,,269985.0,-3785625.0
32635,,270015.0,-3785625.0
32635,,270045.0,-3785625.0
32635,,270075.0,-3785625.0
32635,,270105.0,-3785625.0
32635,,270135.0,-3785625.0
32635,,270165.0,-3785625.0
32635,,270195.0,-3785625.0
32635,,270225.0,-3785625.0
32635,,270255.0,-3785625.0
32635,,270285.0,-3785625.0
32635,,270315.0,-3785625.0
32635,,270345.0,-3785625.0
32635,,270375.0,-3785625.0
32635,,270405.0,-3785625.0
32635,,270435.0,-3785625.0
32635,,270465.0,-3785625.0
32635,,270495.0,-3785625.0
32635,,270525.0,-3785625.0
32635,,270555.0,-3785625.0
32635,,270585.0,-3785625.0
32635,,270615.0,-3785625.0
32635,,270645.0,-3785625.0
32635,,270675.0,-3785625.0
32635,,270705.0,-3785625.0
32635,,270735.0,-3785625.0
32635,,270765.0,-3785625.0
32635,,270795.0,-3785625.0
32635,,270825.0,-3785625.0
32635,,270855.0,-3785625.0
32635,,270885.0,-3785625.0
32635,,270915.0,-3785625.0
32635,,270945.0,-3785625.0
32635,,270975.0,-3785625.0
32635,,271005.0,-3785625.0
32635,,271035.0,-3785625.0
32635,,271065.0,-3785625.0
32635,,271095.0,-3785625.0
32635,,271125.0,-3785625.0
32635,,271155.0,-3785625.0
32635,,271185.0,-3785625.0
32635,,271215.0,-3785625.0
32635,,271245.0,-3785625.0
32635,,271275.0,-3785625.0
32635,,271305.0,-3785625.0
32635,,271335.0,-3785625.0
32635,,271365.0,-3785625.0
32635,,271395.0,-3785625.0
32635,,271425.0,-3785625.0
32635,,271455.0,-3785625.0
32635,,271485.0,-3785625.0
32635,,271515.0,-3785625.0
32635,,271545.0,-3785625.0
32635,,271575.0,-3785625.0
32635,,271605.0,-3785625.0
32635,,271635.0,-3785625.0
32635,,271665.0,-3785625.0
32635,,271695.0,-3785625.0
32635,,271725.0,-3785625.0
32635,,271755.0,-3785625.0
32635,,271785.0,-3785625.0
32635,,271815.0,-3785625.0
32635,,271845.0,-3785625.0
32635,,271875.0,-3785625.0
32635,,271905.0,-3785625.0
32635,,271935.0,-3785625.0
32635,,271965.0,-3785625.0
32635,,271995.0,-3785625.0
32635,,272025.0,-3785625.0
32635,,272055.0,-3785625.0
32635,,272085.0,-3785625.0
32635,,272115.0,-3785625.0
32635,,272145.0,-3785625.0
32635,,272175.0,-3785625.0
32635,,272205.0,-3785625.0
32635,,272235.0,-3785625.0
32635,,272265.0,-3785625.0
32635,,272295.0,-3785625.0
32635,,272325.0,-3785625.0
32635,,272355.0,-3785625.0
32635,,272385.0,-3785625.0
32635,,272415.0,-3785625.0
32635,,272445.0,-3785625.0
32635,,272475.0,-3785625.0
32635,,272505.0,-3785625.0
32635,,272535.0,-3785625.0
32635,,272565.0,-3785625.0
32635,,272595.0,-3785625.0
32635,,272625.0,-3785625.0
32635,,272655.0,-3785625.0
32635,,272685.0,-3785625.0
32635,,272715.0,-3785625.0
32635,,272745.0,-3785625.0
32635,,272775.0,-3785625.0
32635,,272805.0,-3785625.0
32635,,272835.0,-3785625.0
32635,,272865.0,-3785625.0
32635,,272895.0,-3785625.0
32635,,272925.0,-3785625.0
32635,,272955.0,-3785625.0
32635,,272985.0,-3785625.0
32635,,273015.0,-3785625.0
32635,,273045.0,-3785625.0
32635,,273075.0,-3785625.0
32635,,273105.0,-3785625.0
32635,,273135.0,-3785625.0
32635,,273165.0,-3785625.0
32635,,273195.0,-3785625.0
32635,,273225.0,-3785625.0
32635,,273255.0,-3785625.0
32635,,273285.0,-3785625.0
32635,,273315.0,-3785625.0
32635,,273345.0,-3785625.0
32635,,273375.0,-3785625.0
32635,,273405.0,-3785625.0
32635,,273435.0,-3785625.0
32635,,273465.0,-3785625.0
32635,,273495.0,-3785625.0
32635,,273525.0,-3785625.0
32635,,269715.0,-3785655.0
32635,,269745.0,-3785655.0
32635,,269775.0,-3785655.0
32635,,269805.0,-3785655.0
32635,,269835.0,-3785655.0
32635,,269865.0,-3785655.0
32635,,269895.0,-3785655.0
32635,,269925.0,-3785655.0
32635,,269955.0,-3785655.0
32635,,269985.0,-3785655.0
32635,,270015.0,-3785655.0
32635,,270045.0,-3785655.0
32635,,270075.0,-3785655.0
32635,,270105.0,-3785655.0
32635,,270135.0,-3785655.0
32635,,270165.0,-3785655.0
32635,,270195.0,-3785655.0
32635,,270225.0,-3785655.0
32635,,270255.0,-3785655.0
32635,,270285.0,-3785655.0
32635,,270315.0,-3785655.0
32635,,270345.0,-3785655.0
32635,,270375.0,-3785655.0
32635,,270405.0,-3785655.0
32635,,270435.0,-3785655.0
32635,,270465.0,-3785655.0
32635,,270495.0,-3785655.0
32635,,270525.0,-3785655.0
32635,,270555.0,-3785655.0
32635,,270585.0,-3785655.0
32635,,270615.0,-3785655.0
32635,,270645.0,-3785655.0
32635,,270675.0,-3785655.0
32635,,270705.0,-3785655.0
32635,,270735.0,-3785655.0
32635,,270765.0,-3785655.0
32635,,270795.0,-3785655.0
32635,,270825.0,-3785655.0
32635,,270855.0,-3785655.0
32635,,270885.0,-3785655.0
32635,,270915.0,-3785655.0
32635,,270945.0,-3785655.0
32635,,270975.0,-3785655.0
32635,,271005.0,-3785655.0
32635,,271035.0,-3785655.0
32635,,271065.0,-3785655.0
32635,,271095.0,-3785655.0
32635,,271125.0,-3785655.0
32635,,271155.0,-3785655.0
32635,,271185.0,-3785655.0
32635,,271215.0,-3785655.0
32635,,271245.0,-3785655.0
32635,,271275.0,-3785655.0
32635,,271305.0,-3785655.0
32635,,271335.0,-3785655.0
32635,,271365.0,-3785655.0
32635,,271395.0,-3785655.0
32635,,271425.0,-3785655.0
32635,,271455.0,-3785655.0
32635,,271485.0,-3785655.0
32635,,271515.0,-3785655.0
32635,,271545.0,-3785655.0
32635,,271575.0,-3785655.0
32635,,271605.0,-3785655.0
32635,,271635.0,-3785655.0
32635,,271665.0,-3785655.0
32635,,271695.0,-3785655.0
32635,,271725.0,-3785655.0
32635,,271755.0,-3785655.0
32635,,271785.0,-3785655.0
32635,,271815.0,-3785655.0
32635,,271845.0,-3785655.0
32635,,271875.0,-3785655.0
32635,,271905.0,-3785655.0
32635,,271935.0,-3785655.0
32635,,271965.0,-3785655.0
32635,,271995.0,-3785655.0
32635,,272025.0,-3785655.0
32635,,272055.0,-3785655.0
32635,,272085.0,-3785655.0
32635,,272115.0,-3785655.0
32635,,272145.0,-3785655.0
32635,,272175.0,-3785655.0
32635,,272205.0,-3785655.0
